Name,1.99,2.49,2.99,3.24,3.49,3.74,3.99,4,GPA (Average)
University of Michigan,0,0,0.2,0.7,1.8,11.8,66.4,100,3.88/33.4
University of Virginia,0,0.03,0.24,0.61,1.16,3.54,10.35,100,4.35w/89.64%
University of Florida,0,0,0,0,1,16,61,100,3.88/39%
Univ. of North Carolina,0,0,0,1,2,4,7,100,4.42w/93%
Univ. of Wisconsin-Madison,0,0,0.2,1.3,5.1,19.4,55,100,3.88/45%
William & Mary,0,0,0,0.07,0.8,3.74,14.16,100,4.3w/85.84%
Georgia Tech,0,0,0,1,2,5,15,100,4.10w/85%
University of Georgia,0,0.07,0.38,0.72,1.19,4.46,23.8,100,4.10w/76.20%
Purdue University,0.02,0.24,3.17,10.01,24.92,51.55,90.04,100,3.67/9.06%
University of Maryland,0.02,0.11,0.5,1.2,2.31,6.15,14.88,100,4.34w/85.14
University of Washington,0,0.04,0.34,1.86,6.96,26.56,86.33,100,3.82u/13.67%
University of Pittsburgh,0,0,0,2,8,19,37,100,4.10w/64%
Univ .of Massachusettes,0,0.2,0.8,1.8,7.1,22.9,47.7,100,3.99u/52.3%
Indiana University,0,0.09,2.36,9.35,21.82,40.4,61.31,100,3.74u/36.7%
North Carolina State Univ.,0,0.1,0.4,1,5,24.7,90.2,100,3.83u/19.7%
Michigan State University,0.03,0.09,2.19,10.43,26.06,49.28,77.09,100,3.72/22.92%
Stony Brook University,0,0.06,0.44,4.08,11.43,29.06,57.71,100,3.94/42.26%
University of Iowa,0.02,0.06,2.54,8.93,20.14,38.85,66.66,100,3.81/33.24%
Colorado School of Mines,0,0,0,0,4,25,76,100,3.84/24.0%
University of Delaware,0,0,1,4,13,32,53,100,3.94/47%
Auburn University,0.04,0.12,0.76,4.39,11.53,27.72,48.9,100,3.97/51.1%
Univ. of Colorado-Boulder,0,1,6,15,29,47,67,100,3.68/34%
Univ. of Illinois-Chicago,0,0.12,11.92,33.02,56.65,79.87,97.44,100,3.41/2.74%
University of South Florida,0,0,0,2,9,22,38,100,4.06w/61%
Miami University-Oxford,0.02,0.71,5.14,11.46,20.34,35.41,58.24,100,3.85/41.74
University of Arizona,0.1,1.6,18.31,29.63,43.32,59.84,84.25,100,3.48/15.75%
University of Oregon,0,0,3,12,27,49,72,100,3.73/28%
University of Tennessee,0,0.1,1.15,4.75,12.93,25,40.78,100,4.05w/59.22
University of Kansas,0,2,9,16,26,44,67,100,3.66/33%
Iowa State University,0,0.54,6.65,16.41,29.87,47.76,74.44,100,3.7/25.56
